table,context
"{'column_header': ['born', 'allegiance', 'service/branch', 'yearsxa0of_service', 'rank', 'commands_held', 'battles/wars'], 'row_number': [1, 1, 1, 1, 1, 1, 1], 'content': ['november 29, 1939 dubois, pennsylvania, u.s.', 'united states of america', 'united states army', '1961/1991', 'major general', '7th psyop group351st civil affairs command', 'vietnam war']}","paul e. vallely (born november 29, 1939) is a retired united states army major general and former senior military analyst for fox news. vallely was born in dubois, pennsylvania, on november 29, 1939. he is married to former marian hatch. he moved with his wife from washington, d.c. to bigfork, montana in 2003. their son, private first class scott paul vallely, died on april 20, 2004, while in his fourth week of special forces qualification course special forces training. vallely graduated from west point and was commissioned into the u.s. army in 1961. he graduated from infantry school, ranger and airborne schools, jumpmaster school, the command and general staff school, the industrial college of the armed forces and the army war college. his combat service in vietnam included positions as infantry company commander, intelligence officer, operations officer, military adviser and aide-de-camp. he was later the commander of the 7th psychological operations group around 1980, and of the 351st civil affairs command from 1982 to 1986, which included all special forces, psychological warfare and civil military units in the western united states and hawaii. he retired in 1991 from his position in hawaii as deputy commanding general, united states army pacific, at the rank of major general. vallely graduated from west point and was commissioned into the u.s. army in 1961. he graduated from infantry school, ranger and airborne schools, jumpmaster school, the command and general staff school, the industrial college of the armed forces and the army war college. his combat service in vietnam included positions as infantry company commander, intelligence officer, operations officer, military adviser and aide-de-camp. he was later the commander of the 7th psychological operations group around 1980, and of the 351st civil affairs command from 1982 to 1986, which included all special forces, psychological warfare and civil military units in the western united states and hawaii. he retired in 1991 from his position in hawaii as deputy commanding general, united states army pacific, at the rank of major general."
"{'column_header': ['date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', '', '2011', 'years', '2011/2014', '2011/2013', '2013/2014', '2014/2015', '2015', '2015/2016', '2016/2017', '2017/2018', '2018/2019', '2019', '2019/2020', '2020/2021', '2021', '2021/2022', '2022', '2022/2023', '2023', '2023', '2007/2008', '2008'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['10 february 1992', 'milan, italy', '1.85xa0m', 'forward', 'roma city', 'milan', 'varese', 'team', 'apps', '', 'milan', '0', '', 'renate', '59', '', 'teramo', '23', '', 'messina', '', 'monza', '2', '', 'inveruno', '', '', 'sanremese']}","marco gaeta (born 10 february 1992) is an italian professional footballer who plays as a forward for serie d club roma city. in 2017–18 season gaeta was signed by serie d club gozzano. he was part of the starting lineup with the group a champion in the grand scudetto playoffs. however, he missed the semi-final. in 2019–20 season play for serie d club avezzano. in 2017–18 season gaeta was signed by serie d club gozzano. he was part of the starting lineup with the group a champion in the grand scudetto playoffs. however, he missed the semi-final. in 2019–20 season play for serie d club avezzano. this biographical article related to association football in italy, about a forward born in the 1990s, is a stub. you can help wikipedia by expanding it."
"{'column_header': ['president', 'preceded_by', 'succeeded_by', 'born', 'political_party', 'education'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['george w. bushbarack obama', 'bruce james', 'william j. boarman', 'robert charles tapella', 'republican', 'california polytechnic state university, san luis obispo']}","tapella had worked at the gpo since 2002, first as deputy chief of staff until 2004, then as chief of staff until 2007. president george w. bush nominated him for the position of public printer and he was confirmed by the u.s. senate on october 4, 2007. previously, he was a staff member in the u.s. house of representatives. on june 12, 2018, president donald trump announced his intent to nominate tapella to serve as director of the united states government publishing office. on june 24, 2019, this nomination was withdrawn after failing to receive favorable consideration by the senate committee on rules and administration."
"{'column_header': ['born', 'occupation(s)', 'notable_credit'], 'row_number': [1, 1, 1], 'content': ['jacqueline waddell august 17, 1968 fairborn, ohio, united states', 'business owner, entrepreneur, reality show participant', 'work out']}","jackie warner (born jacqueline renee waddell on august 17, 1968) is an american fitness trainer best known for her participation in work out, a bravo tv reality show. she owned sky sport and spa, a gym and spa in beverly hills, california."
"{'column_header': ['fullxa0name', 'born', 'height', 'weight', 'position'], 'row_number': [1, 1, 1, 1, 1], 'content': ['thomas lillycrop', '29 november 1991', '5xa0ft 11xa0in', '17xa0st 6xa0lb', 'prop']}",thomas lillycrop (born 29 november 1991) is a professional rugby league footballer who play as prop for the batley bulldogs in the betfred championship.
"{'column_header': ['born', 'currentxa0team', 'discipline', 'role', '1988/1990', '1991', '1992', '1993/1994', '1995/1996'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['october 15, 1968 seattle, washington, united states', 'retired', 'road', 'rider', '7-elevenhoonved', 'motorola', 'spago', 'coors lightserotta', 'saturn']}","scott mckinley (born october 15, 1968) is an american former cyclist. he competed in the road race at the 1988 summer olympics."
"{'column_header': ['born', 'occupation', 'education', 'genre', 'notable_works', 'spouse'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['may 23, 1958 [third-party source needed]passaic, new jersey, u.s.', 'novelistsports journalistradio talk show hostmusician', 'brandeis university columbia university', 'non-fictionfiction', 'tuesdays with morriethe five people you meet in heavenhave a little faithfor one more dayfinding chikacolumnist for the detroit free press', 'janine sabino u200bu200b']}","mitchell david albom (born may 23, 1958) is an american author, journalist, and musician. as of 2021, books he had authored and sold over 40 million copies worldwide. having achieved national recognition for sports writing in his early career, he turned to writing inspirational stories and themes—a preeminent early one being tuesdays with morrie—themes that now weave their way through his books, plays, and films and stageplays.[according to whom?] albom was born on may 23, 1958, in passaic, new jersey; he lived in buffalo, new york for a little while until his family settled in oaklyn, new jersey, just outside of philadelphia.[third-party source needed] he is of jewish descent. albom's fifth novel, the magic strings of frankie presto, was published by harpercollins in 2015. his longest book at almost 400 pages, it chronicles the life and mysterious death of the fictional musician frankie presto, as narrated by the voice of music. an orphan born in a burning church in spain in 1936, frankie is blessed with musical ability: at nine years old, frankie is sent to america in the bottom of a boat, his only possession is an old guitar and six precious strings. the forrest gump-like journey that follows takes him through the musical landscape of the 20th century, from classical to jazz to rock and roll super stardom, meeting and working with musical greats (like hank williams, elvis presley, carole king, little richard, and the beatles). real musicians including tony bennett, wynton marsalis, paul stanley, darlene love, and ingrid michaelson, lent their names to first-person passages to the book,[citation needed] and an original 17-song soundtrack for the book was released by republic records four days before the book's release. it featured original songs written and performed by albom and other artists including sawyer fredericks, mat kearney, ingrid michaelson, john pizzarelli, and james brent, interpreting frankie presto's ""greatest hits"", along with such older favorites featured in the novel such as tony bennett's ""lost in the stars"" and dionne warwick's ""a house is not a home."" the little liar was published on november 14, 2023, by harpercollins. the book peaked at #5 on the new york times best sellers list on december 3, 2023. the book is historical fiction following nico, an eleven-year-old boy during the germany's occupation of greece in world war ii. albom also directs the have faith haiti mission, a project whose stated objective is ""dedicated to the safety, education, health and spiritual development of haiti's impoverished children and orphans"", incorporating language lessons and christian prayer."
"{'column_header': ['born', 'nationality', 'education', 'style', 'relatives'], 'row_number': [1, 1, 1, 1, 1], 'content': ['1952prague, czechoslovakia', 'australian', 'vclav hollar art school, jan matejko academy of fine arts, rmit university', 'cast glass', 'zbych trofimiuk']}","zoja trofimiuk (born 1952) is an australian sculptor and printmaker, born in prague, czechoslovakia. she specializes in cast glass; her studio is in melbourne."
"{'column_header': ['date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', 'number', '', '2016/2021', 'years', '2021/2023', '2023', '2024'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['26 march 2003', 'nijmegen, netherlands', '1.88xa0m', 'winger', 'toulouse', '10', 'vitesse', 'nec', 'team', 'apps', '', 'nec']}","ibrahim cissoko (born 26 march 2003) is a guinean-dutch professional footballer who plays as a winger for ligue 1 club toulouse. cissoko joined nec in 2016, signing his first professional contract with the club in january 2021. he made his eredivisie debut in a 1–0 defeat to utrecht on 29 april 2022, and scored his first league goal on 8 may 2022 in a 1–0 victory over go ahead eagles. cissoko signed a new contract with nec in july 2022, linking him to the club until the summer of 2024, with the option of an extra season. he scored his first league goal of the 2022–23 season in a 1–1 draw against groningen, an 88th-minute equaliser. in june 2023, cissoko joined ligue 1 club toulouse. he sustained a foot injury in the summer, leaving him unable to make his competitive debut with toulouse until 5 november 2023. cissoko has been described as a quick winger who has the potential to form formidable and pacey partnerships up front. in december 2023, cissoko was pre-called up by the guinea national football team for the 2023 africa cup of nations. on march 21, 2024, he made his debut for jong oranje in a friendly match against norway. born in the netherlands, cissoko is of guinean descent."
"{'column_header': ['born', 'otherxa0names', 'spouses', 'children', 'conviction(s)', 'criminal_penalty', 'victims', 'spanxa0of_crimes', 'country', 'state(s)', 'date_apprehended', 'imprisonedxa0at'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['august 7, 1964 jonesville, north carolina, united states', 'the highway killer', 'miriam m. benge u200bu200bnregina lane', '3', '1 count of assault2 counts of murder3 counts of attempted murder', '2530 years for assault in massachusetts50 years for murder in new jersey1020 years for attempted murderlife imprisonment for murder in pennsylvania', '2 killed, 3 survived', 'july 13xa0xa0 xa0july 30, 2007', 'united states', 'pennsylvania, new jersey, massachusetts', '30 july 2007', 'state correctional institution, fayette county, pennsylvania']}","adam leroy lane (born august 7, 1964) is a convicted murderer and suspected serial killer who was dubbed the highway killer because his crimes took place near highways, which he frequently traveled due to his job as a truck driver. lane was born on august 7, 1964, in jonesville, north carolina. he dropped out of high school and later acquired a job as a truck driver and occasional chicken-plant worker. he lived in a trailer with his wife and three daughters. lane committed the murders while he made his way through the northeastern united states during the summer of 2007. he had a dvd in his truck of the 2002 horror film hunting humans, about a serial killer who stalks his victims before killing them with a knife. he also carried two large hunting knives, choke wire, and a leather mask with the eyes and mouth cut out. while it has been speculated by law enforcement that he has been responsible for other murders in other parts of the country due to his extensive trucking routes, this has not been proven. he has refused to comment to the police or the general public about this speculation."
"{'column_header': ['born', 'occupation', 'yearsxa0active', 'spouse(s)', 'children'], 'row_number': [1, 1, 1, 1, 1], 'content': ['4 march 1939 rio de janeiro, brazil', 'actor', '1968-present', 'renata sorrah xuxa lopes', '1']}",carlos alberto vereza de almeida (born 4 march 1939) is a brazilian actor. he was born in rio de janeiro.
"{'column_header': ['full_name', 'born', 'height', 'weight', 'sporting_nationality', 'residence', 'college', 'turned_professional', 'current_tour(s)', 'former_tour(s)', 'professional_wins', 'pga_tour', 'other', 'masters_tournament', 'pga_championship', 'u.s._open', 'the_open_championship', 'egolf_professional_tourmoney_list_winner'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['samuel scott brown', 'may 22, 1983 augusta, georgia', '5xa0ft 8xa0in', '170xa0lb', 'united states', 'aiken, south carolina', 'university of south carolina aiken', '2006', 'pga tour', 'nationwide touregolf professional tour', '6', '1', '5', 'dnp', 't13: 2017', 'dnp', 'cut: 2013', '2009']}","samuel scott brown (born may 22, 1983) is an american professional golfer who plays on the pga tour."
"{'column_header': ['born', 'occupation', 'nationality', 'education', 'genre', 'notable_works'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['vilas vincent vawter iiiparis, tennessee', 'writer, illustrator', 'american', 'harding academy of memphis', 'children', 'paperboy']}","vilas vincent vawter iii, better known as vince vawter, is an american-born author and illustrator. he worked in the newspaper business for forty years, retiring with the title of president and publisher of the evansville (ind.) courier & press. his debut novel paperboy received a newbery honor in 2014."
"{'column_header': ['born', 'occupation', 'almaxa0mater', 'notable_awards'], 'row_number': [1, 1, 1, 1], 'content': ['august 12, 1952 versmold, northrhine-westphalia, germany', 'authorgermanistpoet', 'free university of berlin', 'preis der frankfurter anthologie deutscher kritikerpreis eichendorff-literaturpreis herman hesse award margarete schrader award literature prize of the city of bremen leonce-und-lena-preis']}","prof. dr. hans-ulrich treichel (born 12 august 1952) is a germanist, novelist and poet. his earliest published books were collections of poetry, but prose writing has become a larger part of his output since the critical and commercial success of his first novel der verlorene (translated into english as lost). treichel has also worked as an opera librettist, most prominently in collaboration with the composer hans werner henze. hans-ulrich treichel was born in versmold in westphalia in 1952 and lived there until 1968. after graduating from high school in hanau, he studied german philology, philosophy and political science at the free university of berlin, where he earned his degree in 1983 with a thesis on wolfgang koeppen. he habilitated in 1993 and from 1995 to march 2018 taught as professor for german literature at the deutsche literaturinstitut leipzig. (german literature institute) treichel became known in particular through his novel the lost (der verlorene), in which he set the flight of his parents from the ""eastern territories"" and the loss of their first-born son towards the end of world war ii about his own childhood and youth. in 1995 he became professor at the german literature institute (deutsche literatur institut) leipzig and retired in 2018."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', '2004/2005', 'years', '2006', '2007', '2008', '2009', '2010'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['roman aleksandrovich chernyshyov', '24 july 1987', 'ramenskoye, russian sfsr', '1.78xa0m', 'midfielder', 'fc saturn moscow oblast', 'team', 'apps', '', '20', 'fc sportakademklub moscow', '']}",he made his russian football national league debut for fc oryol on 1 april 2006 in a game against fc salyut-energiya belgorod. that was his only season in the fnl.
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'position(s)', '1963/1966', 'years', '1966/1973', '1974/1976', '1976/1980', '1980', '1981', '1982', '1983/1984', '1984/1985', '1986/19871988', '1988/19891989/1990', '1991/1991', '1992/1993', '1993/1993', '1994/1994', '1995/1995', '1995/1996', '1997/1997', '1997/1998', '1999/1999', '2000/2000', '2001/20012002', '2002/2003', '2004/2005', '2005/20062006', '2006/20072007', '2008/2008', '2008/20092009', '2010/20102011', '2011/2011', '2012/2012', '2013/20132014', '2014/20152015', '2016/20172018/2019', '2019/20202020', '2022'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['eugnio machado souto', '15 may 1948', 'ribeiro preto, brazil', 'goalkeeper', 'botafogo-sp', 'team', 'apps', '', 'botafogo-sp', '', '', 'francana', '', '', 'so bento', '', '', 'paulista', '', 'caxias', '', '', 'vitria', '', '', 'novo hamburgo', '', '', 'novo hamburgofrancana', 'botafogo-spsantos', 'vitria guimaresinter de limeirasocarlense', 'portuguesa santistabotafogo-sp', 'santosbotafogo-sp', 'al-shababfortaleza', 'ituanounio so joo', 'vitriacomercial', 'ponte pretavitria', 'juventudeguarani', 'bahiaunio so joo', 'matonensevitria', 'unio so joojuventude']}","on 17 march 2022, after more than one year without coaching, geninho returned to vitória for a fifth spell."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', 'number', '2009/2019', 'years', '2019/2020', '2020/2024', '2024', '2017', '2018', '2018/2019', '2019', '2021/2023', '2023'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['celton anssumane biai', '13 august 2000', 'lisbon, portugal', '1.88xa0m', 'goalkeeper', 'dordrecht', '63', 'benfica', 'team', 'apps', 'benfica b', '0', '', 'vitria guimares b', '52', '', 'vitria guimares', '5']}","biai is a youth product of the academy benfica, having joined them at the age of 9 in 2009. on 14 september 2018, he signed his first professional contract with benfica until 2023. he was the named the goalie of the season for the u23 liga revelação for the 2018–19 season. on 30 january 2020, he transferred to vitória sc where he was initially assigned to their reserves. he made his senior debut with vitória sc in a 3–1 taça de portugal win over canelas on 15 october 2022."
"{'column_header': ['nationality', 'born', 'sport'], 'row_number': [1, 1, 1], 'content': ['german', '26 march 1957 toronto, ontario, canada', 'ice hockey']}",manfred wolf (born 26 march 1957) is a canadian-born german former ice hockey player and coach. he competed in the men's tournaments at the 1984 winter olympics and the 1988 winter olympics. he is the father of ice hockey player david wolf.
"{'column_header': ['born', 'allegiance', 'service/branch', 'yearsxa0of_service', 'rank', 'commands_held', 'battles/wars', 'awards'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['september 14, 1940', 'united states', 'united states air force', '1962/1998', 'major general', 'air national guard', 'vietnam war', 'silver starlegion of meritdistinguished flying cross']}","major general donald william shepperd (born 1940) is a retired united states air force officer who served as the director of the air national guard from 28 january 1994 to 28 january 1998. shepperd holds a master of science degree from troy state university and attended the air war college at maxwell air force base, alabama. he graduated from the united states air force academy in 1962 as a distinguished graduate. the retired major general has also functioned as a military aviation analyst for cnn. his wife is rose."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', 'number', '2018/2019', 'years', '2018/2021', '2021/2022', '2022/2023', '2023', '2024'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['facundo gabriel zabala', '2 january 1999', 'rosario, argentina', '1.72xa0m', 'left-back', 'olimpia', '30', 'rosario central', 'team', 'apps', '', 'alajuelense', '57', '']}","on 1 july 2022, zabala signed a contract with italian club venezia for three seasons, with an option for a fourth. on 10 january 2023, he was loaned to olimpia in paraguay until 31 december 2023, with an option to buy. on 8 december 2023, venezia announced that olimpia exercised their option to make the transfer permanent, effective in january 2024."
"{'column_header': ['born', 'occupation', 'website'], 'row_number': [1, 1, 1], 'content': ['april 14, 1980 seoul, south korea', 'classical pianist', 'www.limdongmin.com']}","dong-min lim (born april 14, 1980, in seoul) is a south korean classical pianist. he and his brother dong-hyek lim won third prize at the xv international chopin piano competition in warsaw. dong min lim studied at the moscow conservatory, at the hochschule für musik, theater und medien hannover and at mannes college the new school for music."
"{'column_header': ['birth_name', 'origin', 'genres', 'years_active', 'labels', 'website'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['lynn standafer', 'cincinnati, ohio, united states', 'breakcore, raggacore, jungle, drum and bass', '2003present', 'sublight, hymen, mirex, ad noiseam, ohm resistance', 'sonicterror.net/enduser']}","enduser is cincinnati, ohio-based breakcore/raggacore/jungle musician lynn standafer. standafer has released on record labels including mirex, ad noiseam, and outbreak."
"{'column_header': ['nationality', 'almaxa0mater', 'fields', 'institutions'], 'row_number': [1, 1, 1, 1], 'content': ['germany', 'university of kielnfree university of berlin', 'art historian', 'free university of berlinngoethe-institut']}","on 1 march 2017, meike hoffmann took over the scientific coordination of the ‘mosse art research initiative’ (mari) which is also located at the freie universität berlin. the project is the first public-private partnership in provenance research executed by public german institutions in cooperation with descendants of the victims of national socialist prosecution."
"{'column_header': ['born', 'height', 'weight', 'position', 'national_team', 'playing_career'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['august 29, 1944 massena, ny, usa', '6xa0ft 1xa0in', '201xa0lb', 'center', 'united states', '1954/1969']}","thomas francis hurley (born august 29, 1944) is an american former ice hockey defenseman and olympian."
"{'column_header': ['born', 'nationality', 'knownxa0for', 'awards'], 'row_number': [1, 1, 1, 1], 'content': ['1963 el paso, texas, united states', 'american', 'painting, drawing, printmaking, sculpture, site-specific installation', 'the aldrich contemporary art museum emerging artist award']}","paul henry ramirez (born 1963 in el paso, texas, u.s.) is an american contemporary artist known for his biomorphic abstractionist paintings. as his figural based paintings evolved to include geometrics, in 2010, ramirez coined the term ""biogeomorphic abstraction"" to describe his own bold painting style, a fusion of biomorphic and geometric forms. he also gained notability for his site-specific installations as his paintings began to expand outside the confines of the canvas edges onto the walls of the gallery space. these site-specific installations gradually evolved to encompass the whole gallery space, creating a full environmental experience. donald kuspit, scholar and art critic, describes ramirez as “an important new kind of abstract painter . . . an abstractionist playing with color and form to exciting imaginative effect.”"
"{'column_header': ['preceded_by', 'constituency', 'born', 'political_party', 'spouse', 'children', 'parents', 'relatives', 'alma_mater'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['tatyana tsybizova', 'krasnoarmeysky', '19 july 1979 volgograd, rsfsr, ussr', 'united russia', 'natalia kiselyova[1]', '4', 'peter dmitrievich gimbatov tatiana vladimirovna shevchenko', 'vladimir illarionovich shevchenkoxa0[ru]', 'volgograd state university']}","andrey petrovich gimbatov (russian: андрей петрович гимбатов; born 19 july 1979, volgograd) is a russian political figure and a deputy of the 8th state duma. gimbatov started his political career in 2007 when he was appointed the deputy chairman of the land resources committee of the volgograd administration. afterwards, he served as the head of the volgograd research institute of mechanical engineering technology. from 2016 to 2021, he was a deputy of the volgograd regional duma. in 2019–2021, he was the first vice-chairman of the volgograd regional duma. since september 2021, he has served as a deputy of the 8th state duma from the volgograd oblast constituency."
"{'column_header': ['born', 'height', 'weight', 'position'], 'row_number': [1, 1, 1, 1], 'content': ['10 february 1968 sydney, new south wales, australia', '187xa0cm', '108xa0kg', 'prop, second-row']}","steve edmed (born 10 february 1968) is an australian former professional rugby league footballer who played in the 1980s and 1990s. primarily a prop, he played for the balmain tigers, north queensland cowboys and sheffield eagles."
"{'column_header': ['born', 'title', 'majorcompetition(s)'], 'row_number': [1, 1, 1], 'content': ['1998 or 1999 tallinn, estonia', 'the miss globe germany 2021miss supranational germany 2022miss international germany 2022miss international 2022', 'the miss globe 2021miss universe germany 2022miss supranational 2022miss international germany 2022miss international 2022']}","jasmin selberg is a german beauty pageant titleholder who was crowned miss international 2022. jasmin selberg was born in 1998 or 1999 (age 24–25) in tallinn, estonia. her family moved from estonia to germany when she was one year old."
"{'column_header': ['birth_name', 'date_of_birth', 'place_of_birth', 'height', 'weight', 'notable_relative(s)', 'position(s)', 'years', '2016_2007-2015/2003-2005/1999-2003', '2005-2007', '2010-present', '2005-2015'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['alejo corral', 'september 11, 1981', 'buenos aires, argentina', '1.79xa0m', '106xa0kg', 'matas corral', 'prop', 'team', 'apps', 'obc sicsicobc', '', 'apps']}","with los teros was able to debut internationally, integrating the uruguay national team under-21, in the south american tournament in paraguay 2001. in the senior team, his first test-match was in 2005, against portugal, in estoril, for the intercontinental cup. in 2009 returns, after three years of absence, for the process and preparation for the first stage of classification to rwc 2011, which culminated in the series against the united states in november 2009. in 2010, the new head coach gonzalo camardón quoted him again to play the cross border tournament, the south american championship, the churchill cup and the second stage of qualifying for the rwc 2011 compared to kazakhstan and romania respectively. in 2011, with lemoine as head coach, he was summoned for the south american championship that was held in iguazú, misiones and the european tour for the november international window of the irb, which ended up being very positive, after facing portugal and spain, ending the year ranked as the best team out of world cup."
"{'column_header': ['born'], 'row_number': [1], 'content': ['6 september 1987 gisborne, new zealand']}",cody andrews (born 6 september 1987) is a new zealand former cricketer. he made his list a debut on 20 january 2016 in the 2015–16 ford trophy. he made his first-class debut for auckland on 5 november 2016 in the 2016–17 plunket shield season. this biographical article related to a new zealand cricket person born in the 1980s is a stub. you can help wikipedia by expanding it.
"{'column_header': ['nationality', 'born', 'sport'], 'row_number': [1, 1, 1], 'content': ['north korean', '26 november 1970', 'table tennis']}",kim hye-yong (born 26 november 1970) is a north korean table tennis player. she competed in the women's singles event at the 1992 summer olympics.
"{'column_header': ['born', 'status', 'nationality', 'occupation', 'awards', 'rank', 'time_in_space', 'selection', 'missions', 'mission_insignia'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['april 21, 1962 shchyokino, russian sfsr, soviet union', 'retired', 'russian', 'pilot', 'hero of the russian federation', 'colonel, russian air force', '83d 16h 36m', '1990 tspk cosmonaut group', 'soyuz tm-30, soyuz tma-1/tm-34', '']}","sergei viktorovich zalyotin (russian: серге́й викторович залётин; born april 21, 1962) is a russian cosmonaut and a veteran of two space missions. sergei viktorovich zalyotin (russian: серге́й викторович залётин; born april 21, 1962) is a russian cosmonaut and a veteran of two space missions. zalyotin was born in tula and attended the borisoglebsk higher military school before becoming a fighter pilot in the russian air force. he also holds a degree in ecological management. zalyotin was selected as a cosmonaut candidate in 1990. in 2000, zalyotin was a member of the final resident crew aboard the mir space station. he briefly visited the international space station aboard soyuz tma-1 in 2002. born april 21, 1962, schekino, tula area, rf (russia). father: viktor dmitrievich zaletin (1930–1988). mother: valentina ivanovna zaletina (prokhorova), born in 1926. married to elena mikhailovna zaletina (goriacheva), they have one son."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', 'years', '1991/1992', '1992/1995', '1995/1997', '1997/2000', '2000/2003', '2003', '2003/2004', '2004/2005', '2005', '2006', '2006/2007', '2007/2008', 'total'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['edward annand', '24 march 1973', 'glasgow, scotland', '5xa0ft 11xa0in', 'striker', 'team', 'apps', '', 'partick thistle', '1', '', 'sligo rovers', '61', '', 'clyde', '64', '', 'dundee', '93']}","in 1995 he returned to scotland to play with clyde where he enjoyed the best goalscoring form of his career, scoring 42 goals in 64 league matches. he then moved to dundee in 1997, making nearly 100 league appearances and winning the scottish first division title. he moved to ayr united in 2000 and spent three years with the honest men, which included scoring the only goal, a penalty in extra-time, in the 2002 scottish league cup semi-final against hibs at hampden. including a short loan spell with morton, annand moved to st mirren for a year's spell. in 2004, annand moved to dumbarton and part-time football, and spent the latter part of 2005 with raith rovers, where he finished his senior career. in january 2006, annand moved into junior football with lochee united but quickly moved to bathgate thistle. after a spell out of the game, annand came out of retirement to join arthurlie in november 2007. including a short loan spell with morton, annand moved to st mirren for a year's spell. in 2004, annand moved to dumbarton and part-time football, and spent the latter part of 2005 with raith rovers, where he finished his senior career. in january 2006, annand moved into junior football with lochee united but quickly moved to bathgate thistle. after a spell out of the game, annand came out of retirement to join arthurlie in november 2007. in total annand would score fourteen goals in his first full season with the club and these included a brace against stirling and the winner in a 2–1 win away at airdrie in the two games immediately before the title party at raith. in the summer jocky scott, who had taken over from mccormack in march, decided to bring in tommy coyne and willie falconer to challenge for the striking positions and it meant that annand and grady started together just three times in the s.p.l. it mattered not however as dundee finished fifth, their highest league position for twenty-five years and annand finished top goalscorer with ten strikes from his twenty-one starts and ten appearances from the bench."
"{'column_header': ['born', 'occupation', 'awards', 'fields', 'institutions', 'position_held'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['1956', 'historian', 'mara josefa wonenburger planells prize', 'woman, history', 'university of santiago de compostela', 'professor']}","ofelia rey castelao (born 1956) is a galician historian, writer, and university professor. focusing her research on women's history, she studies female migration and the insertion of galician women in the literate culture. rey castelao was awarded the premio nacional de historia de españa [es] (national history prize of spain) in 2022. ofelia rey castelao was born in a estrada, pontevedra, spain, in 1956."
"{'column_header': ['born:', 'status', 'cflxa0status', 'position(s)', 'height', 'weight', 'university', 'cfl_draft', 'drafted_by', '2014/2022', 'cfl_east_all-star'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['october 20, 1989 montreal, quebec', 'retired', 'national', 'defensive back', '6xa0ft 0xa0in', '200xa0lb', 'montral', '2014, round: 1, pick: 4', 'ottawa redblacks', 'ottawa redblacks', '2017']}","antoine pruneau is a former canadian football defensive back who played for eight seasons for the ottawa redblacks of the canadian football league (cfl). prior to being drafted into the cfl, he played canadian interuniversity sport (cis) football for the montreal carabins. in university, as a member of the montreal carabins, pruneau was known as a versatile player. he played defensive back before switching to linebacker for his final year, and also served on special teams. during the 2013 season, pruneau scored two special teams touchdowns; one on a kickoff return and the other on the return of a missed field goal. pruneau was named to the 2012 and 2013 second all-canadian teams by the cis."
