table,context
"{'column_header': ['country\xa0(sports)', 'born', 'plays', 'prize_money', 'career\xa0record', 'highest\xa0ranking'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['New Zealand', '(1982-07-18) 18 July 1982 (age\xa041)', 'Left-handed', '$25,566', '1–2', 'No. 657 (20 September 2004)']}",Simon Rea (born 18 July 1982) is a New Zealand tennis coach who works for Tennis Australia. The players he has coached include Nick Kyrgios.
"{'column_header': ['born', 'height', 'country', 'sport', 'event'], 'row_number': [1, 1, 1, 1, 1], 'content': ['(1992-03-29) 29 March 1992 (age\xa032)', '193\xa0cm (6.33\xa0ft; 76\xa0in)', 'Georgia', 'Amateur wrestling', 'Greco-Roman']}","Levan Arabuli (born 29 March 1992) is a Georgian Greco-Roman wrestler. In 2020, he won the silver medal in the 130 kg event at the 2020 European Wrestling Championships held in Rome, Italy.[1][2] In the final, he lost against Alin Alexuc-Ciurariu of Romania.
Levan Arabuli (born 29 March 1992) is a Georgian Greco-Roman wrestler. In 2020, he won the silver medal in the 130 kg event at the 2020 European Wrestling Championships held in Rome, Italy.[1][2] In the final, he lost against Alin Alexuc-Ciurariu of Romania.
In 2017, he won one of the bronze medals in the 130 kg event at the 2017 European Wrestling Championships held in Novi Sad, Serbia.[3]
This biographical article relating to a Georgian sport wrestler or wrestling coach is a stub. You can help Wikipedia by expanding it."
"{'column_header': ['born', 'origin', 'genres', 'occupation(s)', 'instrument(s)', 'years_active'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['1962 (age\xa061–62)[1]', 'London, England', 'ReggaeJazzFunkSoul', 'Session singer, songwriter', 'Vocals', '1978–present']}",Helen Rogers (born in 1962)[1] is a British singer/songwriter who has been active since 1978. She has been featured vocalist with Brit funk bands Direct Drive and 7th Heaven. She has also been a session singer for Paul Hardcastle.[2]
"{'column_header': ['born', 'nationality', 'weight(s)', 'height', 'stance', 'total_fights', 'wins', 'losses', 'draws', 'no_contests'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['(1963-11-10) 10 November 1963 (age\xa060)Bolton, England', 'English', 'lightweight light welterweight', '5\xa0ft 10\xa0in (1.78\xa0m)', 'Orthodox', '31', '26 (KO 13)', '4', '1', '0']}","Carl Crook (born 10 November 1963, in Bolton) is an English former professional lightweight and light welterweight boxer. As an amateur, he was runner-up in the 1985 Amateur Boxing Association of England (ABAE) lightweight championship against Eamon McAuley of Hogarth Amateur Boxing Club,[1] As a professional, he won the Central Area lightweight title, British lightweight title, and the Commonwealth lightweight title, and was also a challenger for the EBU (European) lightweight title.
It was only after 117 amateur bouts he emerged as a professional and captured two lightweight titles. Carl and his family moved from Bolton to Adlington and he made his debut in boxing in Chorley. Carl had to wait until  January 27, 1975 for his first bout as he was not allowed to fight until he is 11 years old. In 1980 he joined army and continued his love and passion for the sport. He missed out on an opportunity to represent Britain in the Olympic Games in 1984 as he lost the ABA Finals. Carl claimed his first title at the Preston Guild Hall against Moroccan-born Najib Daho in 1990. In May 1992, he gained British and Commonwealth defenses against Glaswegian Steve Boyle in Preston. Carl's last pro-fight was quite memorable in Levallois, France a knockout against Jean-Baptiste Mendy in his second European title attempt in April 1993. It was a voluntary title defense and took Jean-Baptiste Mendy to eight or ninth round. Now, he gives shape training at Natbridge Boxing Club, Leyland, offering advice to younger fighters.[2]"
"{'column_header': ['born', 'nationality', 'education', 'occupation', 'known\xa0for'], 'row_number': [1, 1, 1, 1, 1], 'content': ['Meir Nordlicht1968 (age\xa055–56)', 'American', 'B.A. Yeshiva University', 'Hedge fund manager', 'Founder of Platinum Partners']}","Mark (Meir) Nordlicht (born 1968) is the founder and former chief investment officer of (now defunct) Platinum Partners, a U.S. based hedge fund, which came to be known for its unusual investment strategies becoming the subject of a series of controversial criminal and legal actions.[1][2] According to an indictment, Nordlicht, in addition to the fund's co-CIO and CFO, were accused of running a ""ponzi like scheme"".[3] A jury acquitted all defendants on the core charges relating to the Ponzi scheme operation, but found two of the lead executives guilty on the lesser charges relating to a bond-rigging scheme. In an unusual move, Judge Brian Cogan, presiding in the case of United States vs. Nordlicht, et al., reversed the jurors' guilty verdicts and acquitted the firm's co-CIO of the lesser charges in a full acquittal, but ordered a new trial to be set for Nordlicht. An appellate court later upheld the convictions.[4][5]
Nordlicht was born to a Jewish family[2] and raised on Long Island.[6] He graduated from Yeshiva University in 1990 with a B.A. in philosophy. With $11,000 saved from his bar mitzvah he started trading commodity options.[7][8]"
"{'column_header': ['country', 'born', 'retired', 'plays', 'racquet\xa0used', 'highest\xa0ranking', 'current\xa0ranking'], 'row_number': [1, 1, 1, 1, 1, 1, 1], 'content': ['Spain', '(1998-07-06) 6 July 1998 (age\xa025)San Pedro del Pinatar, Spain', 'Active', 'Right Handed', 'Hit Rackets', 'No. 57 (December 2022)', 'No. 57 (December 2022)']}","Cristina Gomez (born 6 July 1998 in San Pedro del Pinatar) is a Spanish professional squash player.[1] As of February 2018, she was ranked number 97 in the world.[2] She is in Spain women's national squash team."
"{'column_header': ['born', 'occupation', 'country', 'sport', 'weight_class', 'olympic_games', 'world_champ.', 'african_champ.', 'ijf', 'judoinside.com'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['(1987-03-08) 8 March 1987 (age\xa037)', 'Judoka', 'Libya', 'Judo', '\u200d–\u200d60\xa0kg, \u200d–\u200d73\xa0kg', 'R32 (2016)', 'R32\n\t\t\t\t\t\t\t\t(2015)', '(2011)', '3049', '47307']}","Mohamed El-Kawisah (born 8 March 1987) is a Libyan judoka. He competed at the 2016 Summer Olympics in the men's 60 kg event, in which he received a bye in the first round and was eliminated in the second round by Yeldos Smetov.[1][2]"
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', '1989–1991', 'years', '1992–2003', '2003', '2004–2005', '2006–2007', 'total'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Shinichi Muto', '(1973-04-02) April 2, 1973 (age\xa051)', 'Sendai, Miyagi, Japan', '1.68\xa0m (5\xa0ft 6\xa0in)', 'Midfielder', 'Sendai Ikuei High School', 'Team', 'Apps', '(Gls)', 'Oita Trinita', '9', '(13)']}","Muto was born in Sendai on April 2, 1973. After graduating from high school, he joined JEF United Ichihara in 1992. He debuted in 1994 and became a regular player as left side back and left side midfielder from 1997. In 2000s, he mainly played as defensive midfielder. In 2003, his opportunity to play decreased and he moved to Oita Trinita in June 2003. From 2004, he played as playing manager for Grulla Morioka (2004–05) and FC Ganju Iwate (2006-07). He retired end of 2007 season."
"{'column_header': ['born', 'occupation', 'years\xa0active'], 'row_number': [1, 1, 1], 'content': ['(1969-03-22) 22 March 1969 (age\xa055)Würzburg, West Germany', 'Actor', '1996–present']}","Andreas Pietschmann (born 22 March 1969) is a German stage, film, and television actor.[1]
Pietschmann lives in Berlin with his partner, the actress Jasmin Tabatabai,[2] and has two children with her: a daughter, Helena Leila (born 5 July 2009),[3] and a son, Johan Anton (born 13 August 2013).[4] Pietschmann is also the stepfather to Tabatabai's daughter Angelina, from her previous marriage."
"{'column_header': ['born', 'pen_name', 'occupation', 'genre', 'spouse', 'children'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['Jacob Saunders1947 (age\xa076–77)', 'Buddy Saunders Don Fowler', 'Writer and businessman', 'Science fiction', 'Judy[1]', '1[1]']}","Jake ""Buddy"" Saunders (born 1947) is an American author and businessman, working in the fields of comic books and science fiction."
"{'column_header': ['born', 'nationality', 'education', 'known\xa0for'], 'row_number': [1, 1, 1, 1], 'content': ['Arnold Berleant (1932-03-04) March 4, 1932 (age\xa092)Buffalo, New York', 'American', 'Eastman School of Music (B.M.)Eastman School of Music (M.A.)State University of New York (Ph.D.)', 'Scholar, author']}","Arnold Jerome Berleant (born 4 March 1932[1]) is an American scholar and author who is active in both philosophy and music.
Arnold Berleant was born in Buffalo, New York.[1]  He received his advanced musical education at the Eastman School of Music and his doctorate in philosophy at the State University of New York at Buffalo.  He is Professor of Philosophy (Emeritus) at Long Island University, former Secretary-General and Past President of the International Association of Aesthetics, and former Secretary-Treasurer of the American Society for Aesthetics. His books and articles in philosophy focus on aesthetics, environmental aesthetics, and ethics. Arnold Berleant is the founding editor of Contemporary Aesthetics, an international on-line journal of contemporary aesthetic theory, research, and application. His body of work has been digitized and is part of the Archival & Manuscript Collection in the University at Buffalo Library.
Arnold Berleant was born in Buffalo, New York.[1]  He received his advanced musical education at the Eastman School of Music and his doctorate in philosophy at the State University of New York at Buffalo.  He is Professor of Philosophy (Emeritus) at Long Island University, former Secretary-General and Past President of the International Association of Aesthetics, and former Secretary-Treasurer of the American Society for Aesthetics. His books and articles in philosophy focus on aesthetics, environmental aesthetics, and ethics. Arnold Berleant is the founding editor of Contemporary Aesthetics, an international on-line journal of contemporary aesthetic theory, research, and application. His body of work has been digitized and is part of the Archival & Manuscript Collection in the University at Buffalo Library."
